t_I	I_12	I_10	I_8	t_O	12_O	10_O	8_O
0	0.00815	0.00783	0.01139	0	0	0	0
1	0.00815	0.00783	0.01139	2	0	0	0
2	0.00815	0.00783	0.01139	4	0	0	0
3	0.00815	0.00783	0.01139	6	0	0	0
4	0.00815	0.00783	0.01139	8	0	0	0
5	0.00815	0.00783	0.01139	10	0	0	0
6	0.00815	0.00783	0.01139	12	0	0	0
7	0.00815	0.00783	0.01139	14	0	0	0
8	0.00815	0.00783	0.01139	16	0	0	0
9	0.00815	0.00783	0.01139	18	0	0	0
10	0.00815	0.00783	0.01139	20	0	0	0
11	0.00815	0.00783	0.01139	22	0	0	0
12	0.00815	0.00783	0.01139	24	0	0	0
13	0.00815	0.00783	0.01139	26	0	0	0
14	0.00815	0.00783	0.01139	28	0	0	0
15	0.00815	0.00783	0.01139	30	0	0	0
16	0.00815	0.00783	0.01139	32	0	0	0
17	0.00815	0.00783	0.01139	34	0	0	0
18	0.00815	0.00783	0.01139	36	0	0	0
19	0.00815	0.00783	0.01139	38	0	0	0
20	0.00815	0.00783	0.01139	40	0	0	0
21	0.00815	0.00783	0.01139	42	0	0	0
22	0.00815	0.00783	0.01139	44	0	0	0
23	0.00815	0.00783	0.01139	46	0	0	0
24	0.00815	0.00783	0.01139	48	0	0	0
25	0.00815	0.00783	0.01139	50	0	0	0
26	0.00815	0.00783	0.01139	52	0	0	0
27	0.00815	0.00783	0.01139	54	0	0	0
28	0.00815	0.00783	0.01139	56	0	0	0
29	0.00815	0.00783	0.01139	58	0	0	0
30	0.00815	0.00783	0.01139	60	0	0	0
31	0.00815	0.00783	0.01139	62	0	0	0
32	0.00815	0.00783	0.01139	64	0	0	0
33	0.00815	0.00783	0.01139	66	0	0	0
34	0.00815	0.00783	0.01139	68	0	0	0
35	0.00815	0.00783	0.01139	70	0	0	0
36	0.00815	0.00783	0.01139	72	0	0	0
37	0.00815	0.00783	0.01139	74	0	0	0
38	0.00815	0.00783	0.01139	76	0	0	0
39	0.00815	0.00783	0.01139	78	0	0	0
40	0.00815	0.00783	0.01139	80	0	0	0
41	0.00815	0.00783	0.01139	82	0	0	0
42	0.00815	0.00783	0.01139	84	0	0	0
43	0.00815	0.00783	0.01139	86	0	0	0
44	0.00815	0.00783	0.01139	88	0	0	0
45	0.00815	0.00783	0.01139	90	0	0	0
46	0.00815	0.00783	0.01139	92	0	0	0
47	0.00815	0.00783	0.01139	94	0	0	0
48	0.00815	0.00783	0.01139	96	0	0	0
49	0.00815	0.00783	0.01139	98	0	0	0
50	0.00815	0.00783	0.01139	100	0	0	0
51	0.00815	0.00783	0.01139	102	0	0	0
52	0.00815	0.00783	0.01139	104	0	0	0
53	0.00815	0.00783	0.01139	106	0	0	0
54	0.00815	0.00783	0.01139	108	0	0	0
