t_I,I_12,I_10,I_8,t_O,O_12,O_10,O_8
0,0.0000151,0.0000152,0.0000153,0,0.0041,0.00105,0
1,0.0000153,0.0000154,0.0000155,2,0.00425,0.0015,0.00113
2,0.0000156,0.0000156,0.0000157,4,0.00394,0.0015,0.00162
3,0.0000159,0.0000159,0.0000158,6,0.00378,0.00105,0.00162
4,0.0000162,0.0000161,0.000016,8,0.00347,0.0015,0.00162
5,0.0000165,0.0000164,0.0000162,10,0.00362,0.0015,0.0021
6,0.0000168,0.0000166,0.0000164,12,0.00378,0.00195,0.00162
7,0.0000172,0.0000169,0.0000167,14,0.00378,0.00195,0.00113
8,0.0000175,0.0000172,0.0000169,16,0.00394,0.00105,0.00162
9,0.0000179,0.0000175,0.0000171,18,0.00268,0.00105,0.00113
10,0.0000183,0.0000178,0.0000174,20,0.00331,0.00105,0.00113
11,0.0000187,0.0000181,0.0000176,22,0.00362,0.0015,0.00162
12,0.0000192,0.0000185,0.0000178,24,0.00315,0.00105,0.00162
13,0.0000196,0.0000188,0.0000181,26,0.00347,0.0015,0.00113
14,0.0000201,0.0000192,0.0000184,28,0.00299,0.0015,0.00113
15,0.0000206,0.0000196,0.0000187,30,0.00299,0.0015,0.00162
16,0.0000211,0.00002,0.0000189,32,0.00331,0.0015,0.00162
17,0.0000217,0.0000204,0.0000192,34,0.00315,0.00105,0.00162
18,0.0000223,0.0000208,0.0000195,36,0.00315,0.0015,0.0021
19,0.0000229,0.0000213,0.0000199,38,0.00284,0.0015,0.00162
20,0.0000236,0.0000218,0.0000202,40,0.00315,0.0015,0.00113
21,0.0000242,0.0000223,0.0000205,42,0.00268,0.00105,0.00162
22,0.000025,0.0000228,0.0000209,44,0.00268,0.0015,0.00162
23,0.0000257,0.0000233,0.0000212,46,0.00284,0.0015,0.00162
24,0.0000265,0.0000239,0.0000216,48,0.00284,0.00105,0.0021
25,0.0000273,0.0000244,0.000022,50,0.00284,0.0015,0.00162
26,0.0000282,0.0000251,0.0000224,52,0.00284,0.00105,0.00113
27,0.0000291,0.0000257,0.0000228,54,0.00284,0.00105,0.00162
28,0.0000301,0.0000263,0.0000232,56,0.00252,0.0015,0.00162
29,0.0000311,0.000027,0.0000237,58,0.00284,0.0015,0.00162
30,0.0000322,0.0000277,0.0000241,60,0.00284,0.0015,0.00162
31,0.0000333,0.0000285,0.0000246,62,0.00252,0.00105,0.00162
32,0.0000344,0.0000292,0.0000251,64,0.00268,0.00105,0.00162
33,0.0000357,0.0000301,0.0000256,66,0.00252,0.00105,0.0021
34,0.000037,0.0000309,0.0000261,68,0.00268,0.0015,0.00162
35,0.0000383,0.0000318,0.0000267,70,0.00268,0.0015,0.00162
36,0.0000398,0.0000327,0.0000272,72,0.00236,0.0015,0.00162
37,0.0000413,0.0000336,0.0000278,74,0.00268,0.00105,0.0021
38,0.0000428,0.0000346,0.0000284,76,0.00252,0.0015,0.00162
39,0.0000445,0.0000356,0.000029,78,0.00268,0.0015,0.00113
40,0.0000462,0.0000367,0.0000296,80,0.00205,0.00105,0.0021
41,0.000048,0.0000378,0.0000303,82,0.00315,0.0015,0.00113
42,0.0000499,0.000039,0.0000309,84,0.00252,0.0015,0.00162
43,0.000052,0.0000402,0.0000316,86,0.00236,0.00195,0.00162
44,0.0000541,0.0000415,0.0000324,88,0.00221,0.00195,0.00113
45,0.0000563,0.0000428,0.0000331,90,0.00221,0.00105,0.00162
46,0.0000586,0.0000442,0.0000339,92,0.00189,0.00105,0.0021
47,0.0000611,0.0000456,0.0000347,94,0.00205,0.00105,0.00162
48,0.0000636,0.0000471,0.0000355,96,0.00173,0.0015,0.00162
49,0.0000663,0.0000486,0.0000363,98,0.00284,0.00105,0.00162
50,0.0000692,0.0000502,0.0000372,100,0.00158,0.0015,0.00162
51,0.0000721,0.0000519,0.0000381,102,0.00236,0.0015,0.0021
52,0.0000753,0.0000537,0.0000391,104,0.00268,0.0015,0.00162
53,0.0000785,0.0000555,0.00004,106,0.00252,0.0015,0.00162
54,0.000082,0.0000574,0.000041,108,0.00158,0.00105,0.0021
55,0.0000856,0.0000594,0.000042,110,0.00236,0.0015,0.0021
56,0.0000894,0.0000615,0.0000431,112,0.00173,0.0015,0.00113
57,0.0000934,0.0000636,0.0000442,114,0.00173,0.0015,0.00162
58,0.0000976,0.0000659,0.0000454,116,0.00189,0.00105,0.0021
59,0.000102,0.0000682,0.0000465,118,0.00158,0.0015,0.00162
60,0.000107,0.0000706,0.0000477,120,0.00173,0.0015,0.00162
61,0.000112,0.0000732,0.000049,122,0.00189,0.00105,0.00113
62,0.000117,0.0000758,0.0000503,124,0.00142,0.0015,0.0021
63,0.000122,0.0000786,0.0000516,126,0.00173,0.00105,0.00162
64,0.000128,0.0000814,0.000053,128,0.00142,0.00105,0.00162
65,0.000134,0.0000844,0.0000545,130,0.00173,0.0015,0.00113
66,0.00014,0.0000875,0.0000559,132,0.00236,0.0015,0.0021
67,0.000146,0.0000908,0.0000575,134,0.00173,0.0015,0.00162
68,0.000153,0.0000941,0.000059,136,0.00142,0.00105,0.00162
69,0.00016,0.0000977,0.0000607,138,0.00142,0.00105,0.0021
70,0.000168,0.000101,0.0000624,140,0.00126,0.00105,0.0021
71,0.000176,0.000105,0.0000641,142,0.0011,0.0015,0.00113
72,0.000184,0.000109,0.0000659,144,0.0011,0.0015,0.00162
73,0.000193,0.000113,0.0000678,146,0.00158,0.0015,0.00113
74,0.000202,0.000118,0.0000697,148,0.00158,0.00105,0.00113
75,0.000212,0.000122,0.0000717,150,0.00142,0.0015,0.00162
76,0.000222,0.000127,0.0000737,152,0.00142,0.00105,0.00162
77,0.000233,0.000132,0.0000758,154,0.00221,0.00105,0.00162
78,0.000244,0.000137,0.000078,156,0.00189,0.00105,0.0021
79,0.000256,0.000142,0.0000803,158,0.0011,0.00105,0.00162
80,0.000268,0.000148,0.0000826,160,0.0011,0.00105,0.00113
81,0.000281,0.000153,0.000085,162,0.0011,0.0015,0.00162
82,0.000295,0.000159,0.0000875,164,0.0011,0.0015,0.0021
83,0.000309,0.000166,0.0000901,166,0.00142,0.0015,0.0021
84,0.000324,0.000172,0.0000928,168,0.0011,0.00105,0.00162
85,0.00034,0.000179,0.0000955,170,0.00126,0.0015,0.00162
86,0.000356,0.000186,0.0000984,172,0.00173,0.00105,0.00162
87,0.000374,0.000193,0.000101,174,0.0011,0.0015,0.0021
88,0.000392,0.000201,0.000104,176,0.00158,0.0015,0.00162
89,0.000411,0.000209,0.000107,178,0.00158,0.00105,0.00113
90,0.000431,0.000217,0.000111,180,0.00142,0.00105,0.0021
91,0.000453,0.000226,0.000114,182,0.00142,0.00105,0.00162
92,0.000475,0.000235,0.000118,184,0.00221,0.00105,0.00275
93,0.000498,0.000244,0.000121,186,0.00189,0.0015,0.00162
94,0.000523,0.000254,0.000125,188,0.0011,0.0015,0.00162
95,0.000549,0.000264,0.000129,190,0.0011,0.0015,0.0021
96,0.000576,0.000275,0.000133,192,0.0011,0.00105,0.00162
97,0.000604,0.000286,0.000137,194,0.0011,0.0015,0.0021
98,0.000634,0.000298,0.000141,196,0.00142,0.00105,0.0021
99,0.000666,0.00031,0.000145,198,0.0011,0.00105,0.00275
100,0.000698,0.000322,0.00015,200,0.00126,0.00105,0.00275
101,0.000733,0.000335,0.000154,202,0.0011,0.00105,0.00162
102,0.000769,0.000349,0.000159,204,0.00158,0.0015,0.00162
103,0.000808,0.000363,0.000164,206,0.00158,0.0015,0.0021
104,0.000848,0.000378,0.000169,208,0.00142,0.0015,0.00275
105,0.00089,0.000393,0.000175,210,0.00142,0.00105,0.00162
106,0.000934,0.000409,0.00018,212,0.00221,0.00105,0.00162
107,0.000981,0.000426,0.000186,214,0.00189,0.0015,0.00275
108,0.001029,0.000443,0.000192,216,0.0011,0.0015,0.00162
109,0.001081,0.000461,0.000198,218,0.0011,0.0015,0.00162
110,0.001134,0.00048,0.000204,220,0.00158,0.00105,0.0021
111,0.001191,0.0005,0.00021,222,0.00158,0.0015,0.00162
112,0.00125,0.00052,0.000217,224,0.00142,0.00105,0.0021
113,0.001313,0.000542,0.000224,226,0.00142,0.00105,0.0021
114,0.001378,0.000564,0.000231,228,0.00221,0.0015,0.00162
115,0.001447,0.000587,0.000238,230,0.00189,0.00195,0.0021
116,0.001519,0.000611,0.000246,232,0.0011,0.00105,0.00162
