T,I,O
0,1.52e-5,0.00105
1,1.54e-5,0.001275
2,1.56e-5,0.0015
3,1.59e-5,0.0015
4,1.61e-5,0.0015
5,1.64e-5,0.001275
6,1.66e-5,0.00105
7,1.69e-5,0.001275
8,1.72e-5,0.0015
9,1.75e-5,0.0015
10,1.78e-5,0.0015
11,1.81e-5,0.001725
12,1.85e-5,0.00195
13,1.88e-5,0.00195
14,1.92e-5,0.00195
15,1.96e-5,0.0015
16,2.0e-5,0.00105
17,2.04e-5,0.00105
18,2.08e-5,0.00105
19,2.13e-5,0.00105
20,2.18e-5,0.00105
21,2.23e-5,0.001275
22,2.28e-5,0.0015
23,2.33e-5,0.001275
24,2.39e-5,0.00105
25,2.44e-5,0.001275
26,2.51e-5,0.0015
27,2.57e-5,0.0015
28,2.63e-5,0.0015
29,2.7e-5,0.0015
30,2.77e-5,0.0015
31,2.85e-5,0.0015
32,2.92e-5,0.0015
33,3.01e-5,0.001275
34,3.09e-5,0.00105
35,3.18e-5,0.001275
36,3.27e-5,0.0015
37,3.36e-5,0.0015
38,3.46e-5,0.0015
39,3.56e-5,0.0015
40,3.67e-5,0.0015
41,3.78e-5,0.001275
42,3.9e-5,0.00105
43,4.02e-5,0.001275
44,4.15e-5,0.0015
45,4.28e-5,0.0015
46,4.42e-5,0.0015
47,4.56e-5,0.001275
48,4.71e-5,0.00105
49,4.86e-5,0.001275
50,5.02e-5,0.0015
51,5.19e-5,0.001275
52,5.37e-5,0.00105
53,5.55e-5,0.00105
54,5.74e-5,0.00105
55,5.94e-5,0.001275
56,6.15e-5,0.0015
57,6.36e-5,0.0015
58,6.59e-5,0.0015
59,6.82e-5,0.0015
60,7.06e-5,0.0015
61,7.32e-5,0.001275
62,7.58e-5,0.00105
63,7.86e-5,0.00105
64,8.14e-5,0.00105
65,8.44e-5,0.00105
66,8.75e-5,0.00105
67,9.08e-5,0.001275
68,9.41e-5,0.0015
69,9.77e-5,0.0015
70,0.000101,0.0015
71,0.000105,0.0015
72,0.000109,0.0015
73,0.000113,0.001275
74,0.000118,0.00105
75,0.000122,0.001275
76,0.000127,0.0015
77,0.000132,0.0015
78,0.000137,0.0015
79,0.000142,0.001275
80,0.000148,0.00105
81,0.000153,0.001275
82,0.000159,0.0015
83,0.000166,0.0015
84,0.000172,0.0015
85,0.000179,0.001725
86,0.000186,0.00195
87,0.000193,0.00195
88,0.000201,0.00195
89,0.000209,0.0015
90,0.000217,0.00105
91,0.000226,0.00105
92,0.000235,0.00105
93,0.000244,0.00105
94,0.000254,0.00105
95,0.000264,0.001275
96,0.000275,0.0015
97,0.000286,0.001275
98,0.000298,0.00105
99,0.00031,0.001275
100,0.000322,0.0015
101,0.000335,0.0015
102,0.000349,0.0015
103,0.000363,0.0015
104,0.000378,0.0015
105,0.000393,0.0015
106,0.000409,0.0015
107,0.000426,0.001275
108,0.000443,0.00105
109,0.000461,0.001275
110,0.00048,0.0015
111,0.0005,0.0015
112,0.00052,0.0015
113,0.000542,0.0015
114,0.000564,0.0015
115,0.000587,0.001275
116,0.000611,0.00105
117,0.000636,0.001275
118,0.000662,0.0015
119,0.00069,0.0015
120,0.000718,0.0015
121,0.000748,0.001275
122,0.000778,0.00105
123,0.00081,0.001275
124,0.000844,0.0015
125,0.000879,0.001275
126,0.000915,0.00105
127,0.000953,0.00105
128,0.000992,0.00105
129,0.001033,0.001275
130,0.001076,0.0015
131,0.001121,0.0015
132,0.001167,0.0015
133,0.001215,0.0015
134,0.001266,0.0015
135,0.001318,0.001275
136,0.001373,0.00105
137,0.00143,0.00105
138,0.001489,0.00105
139,0.001551,0.00105
140,0.001615,0.00105
141,0.001682,0.001275
142,0.001752,0.0015
143,0.001825,0.0015
144,0.0019,0.0015
145,0.001979,0.0015
146,0.002062,0.0015
147,0.002147,0.001275
148,0.002236,0.00105
149,0.002329,0.001275
150,0.002426,0.0015
151,0.002527,0.001275
152,0.002632,0.00105
153,0.002741,0.00105
154,0.002855,0.00105
155,0.002974,0.00105
156,0.003097,0.00105
157,0.003226,0.00105
158,0.00336,0.00105
159,0.0035,0.00105
160,0.003645,0.00105
161,0.003796,0.001275
162,0.003954,0.0015
163,0.004118,0.0015
164,0.004289,0.0015
165,0.004468,0.0015
