time,Input_12,Input_10,Input_8,Output_12,Output_10,Output_8
0,1.51e-5,1.52e-5,1.53e-5,0.0041,0.00105,0.0
1,1.53e-5,1.54e-5,1.55e-5,0.004175,0.001275,0.000565
2,1.56e-5,1.56e-5,1.57e-5,0.00425,0.0015,0.00113
3,1.59e-5,1.59e-5,1.58e-5,0.004095,0.0015,0.001375
4,1.62e-5,1.61e-5,1.6e-5,0.00394,0.0015,0.00162
5,1.65e-5,1.64e-5,1.62e-5,0.0038599999999999997,0.001275,0.00162
6,1.68e-5,1.66e-5,1.64e-5,0.00378,0.00105,0.00162
7,1.72e-5,1.69e-5,1.67e-5,0.0036249999999999998,0.001275,0.00162
8,1.75e-5,1.72e-5,1.69e-5,0.00347,0.0015,0.00162
9,1.79e-5,1.75e-5,1.71e-5,0.003545,0.0015,0.0018599999999999999
10,1.83e-5,1.78e-5,1.74e-5,0.00362,0.0015,0.0021
11,1.87e-5,1.81e-5,1.76e-5,0.0037,0.001725,0.0018599999999999999
12,1.92e-5,1.85e-5,1.78e-5,0.00378,0.00195,0.00162
13,1.96e-5,1.88e-5,1.81e-5,0.00378,0.00195,0.001375
14,2.01e-5,1.92e-5,1.84e-5,0.00378,0.00195,0.00113
15,2.06e-5,1.96e-5,1.87e-5,0.0038599999999999997,0.0015,0.001375
16,2.11e-5,2.0e-5,1.89e-5,0.00394,0.00105,0.00162
17,2.17e-5,2.04e-5,1.92e-5,0.00331,0.00105,0.001375
18,2.23e-5,2.08e-5,1.95e-5,0.00268,0.00105,0.00113
19,2.29e-5,2.13e-5,1.99e-5,0.0029950000000000003,0.00105,0.00113
20,2.36e-5,2.18e-5,2.02e-5,0.00331,0.00105,0.00113
21,2.42e-5,2.23e-5,2.05e-5,0.003465,0.001275,0.001375
22,2.5e-5,2.28e-5,2.09e-5,0.00362,0.0015,0.00162
23,2.57e-5,2.33e-5,2.12e-5,0.003385,0.001275,0.00162
24,2.65e-5,2.39e-5,2.16e-5,0.00315,0.00105,0.00162
25,2.73e-5,2.44e-5,2.2e-5,0.00331,0.001275,0.001375
26,2.82e-5,2.51e-5,2.24e-5,0.00347,0.0015,0.00113
27,2.91e-5,2.57e-5,2.28e-5,0.0032300000000000002,0.0015,0.00113
28,3.01e-5,2.63e-5,2.32e-5,0.00299,0.0015,0.00113
29,3.11e-5,2.7e-5,2.37e-5,0.00299,0.0015,0.001375
30,3.22e-5,2.77e-5,2.41e-5,0.00299,0.0015,0.00162
31,3.33e-5,2.85e-5,2.46e-5,0.00315,0.0015,0.00162
32,3.44e-5,2.92e-5,2.51e-5,0.00331,0.0015,0.00162
33,3.57e-5,3.01e-5,2.56e-5,0.0032300000000000002,0.001275,0.00162
34,3.7e-5,3.09e-5,2.61e-5,0.00315,0.00105,0.00162
35,3.83e-5,3.18e-5,2.67e-5,0.00315,0.001275,0.0018599999999999999
36,3.98e-5,3.27e-5,2.72e-5,0.00315,0.0015,0.0021
37,4.13e-5,3.36e-5,2.78e-5,0.0029950000000000003,0.0015,0.0018599999999999999
38,4.28e-5,3.46e-5,2.84e-5,0.00284,0.0015,0.00162
39,4.45e-5,3.56e-5,2.9e-5,0.0029950000000000003,0.0015,0.001375
40,4.62e-5,3.67e-5,2.96e-5,0.00315,0.0015,0.00113
41,4.8e-5,3.78e-5,3.03e-5,0.002915,0.001275,0.001375
42,4.99e-5,3.9e-5,3.09e-5,0.00268,0.00105,0.00162
43,5.2e-5,4.02e-5,3.16e-5,0.00268,0.001275,0.00162
44,5.41e-5,4.15e-5,3.24e-5,0.00268,0.0015,0.00162
45,5.63e-5,4.28e-5,3.31e-5,0.0027600000000000003,0.0015,0.00162
46,5.86e-5,4.42e-5,3.39e-5,0.00284,0.0015,0.00162
47,6.11e-5,4.56e-5,3.47e-5,0.00284,0.001275,0.0018599999999999999
48,6.36e-5,4.71e-5,3.55e-5,0.00284,0.00105,0.0021
49,6.63e-5,4.86e-5,3.63e-5,0.00284,0.001275,0.0018599999999999999
