t I O O_a
0 1.00237812691306E-05 0.00105 3.83872712035446E-09
1 1.0025229957189E-05 0.001275 -4.67922200669457E-09
2 1.00267668950993E-05 0.0015 -1.0050009113183E-08
3 1.00283974592275E-05 0.0015 -6.6488930017509E-10
4 1.00301273525671E-05 0.0015 6.59238666681483E-09
5 1.00319626261669E-05 0.0016125 6.48508800096132E-09
6 1.00339096995583E-05 0.00105 3.4410116306392E-09
7 1.00359753830714E-05 0.000975 5.92871371197125E-10
8 1.00381669021488E-05 0.0015 -2.11772677220736E-09
9 1.00404919225472E-05 0.0015 -3.15130902546083E-09
10 1.00429585765394E-05 0.0015 -2.94469507951485E-09
11 1.00455754923345E-05 0.001455 -2.38766059322763E-09
12 1.00483518230554E-05 0.00195 -1.55768773138544E-09
13 1.00512972802669E-05 0.00195 -7.27650100527578E-10
14 1.00544221661725E-05 0.00195 1.0245624469823E-10
15 1.0057737411362E-05 0.002014285714286 9.32635490292279E-10
16 1.00612546122258E-05 0.00105 9.02520367629018E-10
17 1.00649860707014E-05 0.00105 8.31042804437595E-10
18 1.00689448392366E-05 0.00105 7.59652292356661E-10
19 1.00731447647551E-05 0.00105 6.88354134231493E-10
20 1.00776005379499E-05 0.00105 5.72343523149821E-10
21 1.00823277445761E-05 0.0010275 3.7170856325278E-10
22 1.00873429188519E-05 0.0015 1.7118388401701E-10
23 1.00926636036336E-05 0.001520454545455 -2.92237963106031E-11
24 1.00983084094786E-05 0.00105 -2.29507350594096E-10
25 1.01042970808152E-05 0.00103125 -2.66763075454493E-10
26 1.01106505653314E-05 0.0015 -2.45989756889935E-10
27 1.01173910860286E-05 0.0015 -2.25068218183276E-10
28 1.012454222038E-05 0.0015 -2.03989430058657E-10
29 1.01321289814882E-05 0.0015 -1.82743813448748E-10
30 1.01401779065702E-05 0.0015 -1.61321205608433E-10
31 1.01487171494385E-05 0.0015 -1.39710824697899E-10
32 1.01577765788674E-05 0.0015 -1.17901232112268E-10
33 1.01673878832864E-05 0.0015140625 -9.58802923877813E-11
34 1.01775846809149E-05 0.00105 -7.54100108316734E-11
35 1.01884026385557E-05 0.001036764705882 -6.30601363112697E-11
36 1.01998795957181E-05 0.0015 -5.04578900293494E-11
37 1.02120556965124E-05 0.0015 -3.75878983179698E-11
38 1.02249735307591E-05 0.0015 -2.44338508951274E-11
