Points_Magnitude,c
0,0.639288
0.00025,0.639373
0.0005,0.639458
0.00075,0.639544
0.001,0.639629
0.00125,0.639714
0.0015,0.6398
0.00175,0.639885
0.002,0.63997
0.00225,0.640056
0.0025,0.640168
0.00275,0.640256
0.003,0.640344
0.00325,0.640432
0.0035,0.64052
0.00375,0.640608
0.004,0.640696
0.00425,0.640784
0.0045,0.640872
0.00475,0.64096
0.005,0.641048
0.00525,0.641136
0.0055,0.641224
0.00575,0.641312
0.006,0.6414
0.00625,0.641488
0.0065,0.641576
0.00675,0.641664
0.007,0.641752
0.00725,0.64184
0.0075,0.641928
0.00775,0.642016
0.008,0.642104
0.00825,0.642192
0.0085,0.64228
0.00875,0.642368
0.009,0.642456
0.00925,0.642544
0.0095,0.642632
0.00975,0.64272
0.01,0.642808
0.01025,0.642896
0.0105,0.642984
0.01075,0.643072
0.011,0.64316
0.01125,0.643248
0.0115,0.643336
0.01175,0.643424
0.012,0.643512
0.01225,0.6436
0.0125,0.643689
0.01275,0.643777
0.013,0.643865
0.01325,0.643953
0.0135,0.644041
0.01375,0.644129
0.014,0.644217
0.01425,0.644305
0.0145,0.644393
0.01475,0.644481
0.015,0.644569
0.01525,0.644657
0.0155,0.644745
0.01575,0.644833
0.016,0.644921
0.01625,0.645009
0.0165,0.645097
0.01675,0.645185
0.017,0.645273
0.01725,0.645361
0.0175,0.645449
0.01775,0.645537
0.018,0.645625
0.01825,0.645713
0.0185,0.645801
0.01875,0.645889
0.019,0.645977
0.01925,0.646065
0.0195,0.646153
0.01975,0.646241
0.02,0.646329
0.02025,0.646417
0.0205,0.646505
0.02075,0.646593
0.021,0.646681
0.02125,0.646769
0.0215,0.646857
0.02175,0.646945
0.022,0.647033
0.02225,0.647121
0.0225,0.647209
0.02275,0.647297
0.023,0.647385
0.02325,0.647473
0.0235,0.647561
0.02375,0.647649
0.024,0.647737
0.02425,0.647825
0.0245,0.647913
0.02475,0.648001
0.025,0.648089
0.02525,0.648177
0.0255,0.648265
0.02575,0.648354
0.026,0.648442
0.02625,0.64853
0.0265,0.648618
0.02675,0.648706
0.027,0.648794
0.02725,0.648882
0.0275,0.64897
0.02775,0.649058
0.028,0.649146
0.02825,0.649234
0.0285,0.649322
0.02875,0.64941
0.029,0.649498
0.02925,0.649586
0.0295,0.649674
0.02975,0.649762
0.03,0.64985
0.03025,0.649938
0.0305,0.650026
0.03075,0.650114
0.031,0.650202
0.03125,0.65029
0.0315,0.650378
0.03175,0.650466
0.032,0.650554
0.03225,0.650642
0.0325,0.65073
0.03275,0.650818
0.033,0.650906
0.03325,0.650994
0.0335,0.651082
0.03375,0.65117
0.034,0.651258
0.03425,0.651346
0.0345,0.651434
0.03475,0.651522
0.035,0.65161
0.03525,0.651698
0.0355,0.651786
0.03575,0.651874
0.036,0.651962
0.03625,0.65205
0.0365,0.652138
0.03675,0.652226
0.037,0.652314
0.03725,0.652402
0.0375,0.65249
0.03775,0.652578
0.038,0.652666
0.03825,0.652754
0.0385,0.652842
0.03875,0.652931
0.039,0.653019
0.03925,0.653107
0.0395,0.653195
0.03975,0.653283
0.04,0.653371
0.04025,0.653459
0.0405,0.653547
0.04075,0.653635
0.041,0.653723
0.04125,0.653811
0.0415,0.653899
0.04175,0.653987
0.042,0.654075
0.04225,0.654163
0.0425,0.654251
0.04275,0.654339
0.043,0.654427
0.04325,0.654515
0.0435,0.654603
0.04375,0.654691
0.044,0.654779
0.04425,0.654867
0.0445,0.654955
0.04475,0.655043
0.045,0.655131
0.04525,0.655219
0.0455,0.655307
0.04575,0.655395
0.046,0.655483
0.04625,0.655571
0.0465,0.655659
0.04675,0.655747
0.047,0.655835
0.04725,0.655923
0.0475,0.656011
0.04775,0.656099
0.048,0.656187
0.04825,0.656275
0.0485,0.656363
0.04875,0.656451
0.049,0.656539
0.04925,0.656627
0.0495,0.656715
0.04975,0.656803
0.05,0.656891
0.05025,0.656979
0.0505,0.657067
0.05075,0.657155
0.051,0.657243
0.05125,0.657331
0.0515,0.657419
0.05175,0.657508
0.052,0.657596
0.05225,0.657684
0.0525,0.657772
0.05275,0.65786
0.053,0.657948
0.05325,0.658036
0.0535,0.658124
0.05375,0.658212
0.054,0.6583
0.05425,0.658388
0.0545,0.658476
0.05475,0.658564
0.055,0.658652
0.05525,0.65874
0.0555,0.658828
0.05575,0.658916
0.056,0.659004
0.05625,0.659092
0.0565,0.65918
0.05675,0.659268
0.057,0.659356
0.05725,0.659444
0.0575,0.659532
0.05775,0.65962
0.058,0.659708
0.05825,0.659796
0.0585,0.659884
0.05875,0.659972
0.059,0.66006
0.05925,0.660148
0.0595,0.660236
0.05975,0.660324
0.06,0.660412
0.06025,0.6605
0.0605,0.660588
0.06075,0.660676
0.061,0.660764
0.06125,0.660852
0.0615,0.66094
0.06175,0.661028
0.062,0.661116
0.06225,0.661204
0.0625,0.661292
0.06275,0.66138
0.063,0.661468
0.06325,0.661556
0.0635,0.661644
0.06375,0.661732
0.064,0.66182
0.06425,0.661908
0.0645,0.661996
0.06475,0.662084
0.065,0.662173
0.06525,0.662261
0.0655,0.662349
0.06575,0.662437
0.066,0.662525
0.06625,0.662613
0.0665,0.662701
0.06675,0.662789
0.067,0.662877
0.06725,0.662965
0.0675,0.663053
0.06775,0.663141
0.068,0.663229
0.06825,0.663317
0.0685,0.663405
0.06875,0.663493
0.069,0.663581
0.06925,0.663669
0.0695,0.663757
0.06975,0.663845
0.07,0.663933
0.07025,0.664021
0.0705,0.664109
0.07075,0.664197
0.071,0.664285
0.07125,0.664373
0.0715,0.664461
0.07175,0.664549
0.072,0.664637
0.07225,0.664725
0.0725,0.664813
0.07275,0.664901
0.073,0.664989
0.07325,0.665077
0.0735,0.665165
0.07375,0.665253
0.074,0.665341
0.07425,0.665429
0.0745,0.665517
0.07475,0.665605
0.075,0.665693
0.07525,0.665781
0.0755,0.665869
0.07575,0.665957
0.076,0.666045
0.07625,0.666133
0.0765,0.666221
0.07675,0.666309
0.077,0.666397
0.07725,0.666485
0.0775,0.666573
0.07775,0.666661
0.078,0.66675
0.07825,0.666838
0.0785,0.666926
0.07875,0.667014
0.079,0.667102
0.07925,0.66719
0.0795,0.667278
0.07975,0.667366
0.08,0.667454
0.08025,0.667542
0.0805,0.66763
0.08075,0.667718
0.081,0.667806
0.08125,0.667894
0.0815,0.667982
0.08175,0.66807
0.082,0.668158
0.08225,0.668246
0.0825,0.668334
0.08275,0.668422
0.083,0.66851
0.08325,0.668598
0.0835,0.668686
0.08375,0.668774
0.084,0.668862
0.08425,0.66895
0.0845,0.669038
0.08475,0.669126
0.085,0.669214
0.08525,0.669302
0.0855,0.66939
0.08575,0.669478
0.086,0.669566
0.08625,0.669654
0.0865,0.669742
0.08675,0.66983
0.087,0.669918
0.08725,0.670006
0.0875,0.670094
0.08775,0.670182
0.088,0.67027
0.08825,0.670358
0.0885,0.670446
0.08875,0.670534
0.089,0.670622
0.08925,0.67071
0.0895,0.670798
0.08975,0.670886
0.09,0.670974
0.09025,0.671062
0.0905,0.67115
0.09075,0.671238
0.091,0.671327
0.09125,0.671415
0.0915,0.671503
0.09175,0.671591
0.092,0.671679
0.09225,0.671767
0.0925,0.671855
0.09275,0.671943
0.093,0.672031
0.09325,0.672119
0.0935,0.672207
0.09375,0.672295
0.094,0.672383
0.09425,0.672471
0.0945,0.672559
0.09475,0.672647
0.095,0.672735
0.09525,0.672823
0.0955,0.672911
0.09575,0.672999
0.096,0.673087
0.09625,0.673175
0.0965,0.673263
0.09675,0.673351
0.097,0.673439
0.09725,0.673527
0.0975,0.673615
0.09775,0.673703
0.098,0.673791
0.09825,0.673879
0.0985,0.673967
0.09875,0.674055
0.099,0.674143
0.09925,0.674231
0.0995,0.674319
0.09975,0.674407
0.1,0.674495
0.10025,0.674583
0.1005,0.674671
0.10075,0.674759
0.101,0.674847
0.10125,0.674935
0.1015,0.675023
0.10175,0.675111
0.102,0.675199
0.10225,0.675287
0.1025,0.675375
0.10275,0.675463
0.103,0.675551
0.10325,0.675639
0.1035,0.675727
0.10375,0.675815
0.104,0.675903
0.10425,0.675992
0.1045,0.67608
0.10475,0.676168
0.105,0.676256
0.10525,0.676344
0.1055,0.676432
0.10575,0.67652
0.106,0.67662
0.10625,0.676718
0.1065,0.676816
0.10675,0.676914
