Points_Magnitude,c
0,0.00830043
0.00025,0.00830535
0.0005,0.00831027
0.00075,0.00831519
0.001,0.00832011
0.00125,0.00832502
0.0015,0.00832994
0.00175,0.00833486
0.002,0.00833978
0.00225,0.0083447
0.0025,0.00835107
0.00275,0.00835614
0.003,0.0083612
0.00325,0.00836626
0.0035,0.00837133
0.00375,0.00837639
0.004,0.00838146
0.00425,0.00838652
0.0045,0.00839158
0.00475,0.00839665
0.005,0.00840171
0.00525,0.00840678
0.0055,0.00841184
0.00575,0.0084169
0.006,0.00842197
0.00625,0.00842703
0.0065,0.0084321
0.00675,0.00843716
0.007,0.00844223
0.00725,0.00844729
0.0075,0.00845235
0.00775,0.00845742
0.008,0.00846248
0.00825,0.00846755
0.0085,0.00847261
0.00875,0.00847767
0.009,0.00848274
0.00925,0.0084878
0.0095,0.00849287
0.00975,0.00849793
0.01,0.00850299
0.01025,0.00850806
0.0105,0.00851312
0.01075,0.00851819
0.011,0.00852325
0.01125,0.00852831
0.0115,0.00853338
0.01175,0.00853844
0.012,0.00854351
0.01225,0.00854857
0.0125,0.00855364
0.01275,0.0085587
0.013,0.00856376
0.01325,0.00856883
0.0135,0.00857389
0.01375,0.00857896
0.014,0.00858402
0.01425,0.00858908
0.0145,0.00859415
0.01475,0.00859921
0.015,0.00860428
0.01525,0.00860934
0.0155,0.0086144
0.01575,0.00861947
0.016,0.00862453
0.01625,0.0086296
0.0165,0.00863466
0.01675,0.00863972
0.017,0.00864479
0.01725,0.00864985
0.0175,0.00865492
0.01775,0.00865998
0.018,0.00866504
0.01825,0.00867011
0.0185,0.00867517
0.01875,0.00868024
0.019,0.0086853
0.01925,0.00869037
0.0195,0.00869543
0.01975,0.00870049
0.02,0.00870556
0.02025,0.00871062
0.0205,0.00871569
0.02075,0.00872075
0.021,0.00872581
0.02125,0.00873088
0.0215,0.00873594
0.02175,0.00874101
0.022,0.00874607
0.02225,0.00875113
0.0225,0.0087562
0.02275,0.00876126
0.023,0.00876633
0.02325,0.00877139
0.0235,0.00877645
0.02375,0.00878152
0.024,0.00878658
0.02425,0.00879165
0.0245,0.00879671
0.02475,0.00880177
0.025,0.00880684
0.02525,0.0088119
0.0255,0.00881697
0.02575,0.00882203
0.026,0.0088271
0.02625,0.00883216
0.0265,0.00883722
0.02675,0.00884229
0.027,0.00884735
0.02725,0.00885242
0.0275,0.00885748
0.02775,0.00886254
0.028,0.00886761
0.02825,0.00887267
0.0285,0.00887774
0.02875,0.0088828
0.029,0.00888786
0.02925,0.00889293
0.0295,0.00889799
0.02975,0.00890306
0.03,0.00890812
0.03025,0.00891318
0.0305,0.00891825
0.03075,0.00892331
0.031,0.00892838
0.03125,0.00893344
0.0315,0.0089385
0.03175,0.00894357
0.032,0.00894863
0.03225,0.0089537
0.0325,0.00895876
0.03275,0.00896383
0.033,0.00896889
0.03325,0.00897395
0.0335,0.00897902
0.03375,0.00898408
0.034,0.00898915
0.03425,0.00899421
0.0345,0.00899927
0.03475,0.00900434
0.035,0.0090094
0.03525,0.00901447
0.0355,0.00901953
0.03575,0.00902459
0.036,0.00902966
0.03625,0.00903472
0.0365,0.00903979
0.03675,0.00904485
0.037,0.00904991
0.03725,0.00905498
0.0375,0.00906004
0.03775,0.00906511
0.038,0.00907017
0.03825,0.00907523
0.0385,0.0090803
0.03875,0.00908536
0.039,0.00909043
0.03925,0.00909549
0.0395,0.00910056
0.03975,0.00910562
0.04,0.00911068
0.04025,0.00911575
0.0405,0.00912081
0.04075,0.00912588
0.041,0.00913094
0.04125,0.009136
0.0415,0.00914107
0.04175,0.00914613
0.042,0.0091512
0.04225,0.00915626
0.0425,0.00916132
0.04275,0.00916639
0.043,0.00917145
0.04325,0.00917652
0.0435,0.00918158
0.04375,0.00918664
0.044,0.00919171
0.04425,0.00919677
0.0445,0.00920184
0.04475,0.0092069
0.045,0.00921197
0.04525,0.00921703
0.0455,0.00922209
0.04575,0.00922716
0.046,0.00923222
0.04625,0.00923729
0.0465,0.00924235
0.04675,0.00924741
0.047,0.00925248
0.04725,0.00925754
0.0475,0.00926261
0.04775,0.00926767
0.048,0.00927273
0.04825,0.0092778
