Points_Magnitude,c
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
0.25,0.706953
